iter	Passed	Remaining
407	5883	8537
408	5898	8522
409	5912	8508
410	5926	8493
411	5941	8479
412	5955	8464
413	5969	8450
414	5984	8435
415	5998	8421
416	6012	8406
417	6026	8391
418	6041	8377
419	6056	8363
420	6070	8348
421	6084	8334
422	6098	8319
423	6113	8305
424	6128	8291
425	6142	8276
426	6156	8261
427	6170	8246
428	6184	8231
429	6198	8216
430	6213	8202
431	6227	8188
432	6242	8174
433	6257	8160
434	6271	8145
435	6285	8131
436	6299	8116
437	6314	8101
438	6331	8091
439	6346	8077
440	6360	8062
441	6374	8047
442	6388	8032
443	6402	8017
444	6424	8012
445	6439	7998
446	6453	7984
447	6468	7969
448	6482	7954
449	6496	7940
450	6510	7925
451	6525	7910
452	6539	7896
453	6554	7882
454	6568	7867
455	6582	7852
456	6596	7838
457	6611	7823
458	6625	7808
459	6639	7794
460	6654	7780
461	6669	7766
462	6683	7752
463	6698	7737
464	6712	7723
465	6727	7709
466	6741	7694
467	6755	7679
468	6770	7665
469	6785	7651
470	6799	7636
471	6813	7621
472	6827	7607
473	6845	7596
474	6860	7582
475	6875	7568
476	6889	7554
477	6904	7540
478	6919	7525
479	6933	7511
480	6947	7496
481	6961	7481
482	6976	7467
483	6990	7452
484	7004	7438
485	7018	7423
486	7032	7408
487	7047	7394
488	7062	7380
489	7076	7365
490	7091	7351
491	7106	7337
492	7120	7322
493	7135	7308
494	7149	7294
495	7164	7279
496	7178	7265
497	7192	7250
498	7207	7236
499	7222	7222
500	7237	7208
501	7252	7194
502	7266	7180
503	7281	7165
504	7295	7151
505	7310	7136
506	7324	7122
507	7342	7111
508	7356	7096
509	7371	7082
510	7385	7067
511	7399	7053
512	7421	7045
513	7436	7031
514	7451	7017
515	7466	7003
516	7480	6988
517	7494	6974
518	7509	6959
519	7523	6944
520	7538	6930
521	7552	6915
522	7566	6901
523	7580	6886
524	7595	6871
525	7609	6856
526	7623	6842
527	7637	6827
528	7652	6813
529	7666	6798
530	7681	6784
531	7695	6769
532	7710	6755
533	7724	6741
534	7739	6726
535	7753	6711
536	7767	6697
537	7781	6682
538	7796	6668
539	7810	6653
540	7824	6638
541	7843	6627
542	7858	6613
543	7873	6599
544	7887	6585
545	7901	6570
546	7916	6556
547	7930	6541
548	7945	6526
549	7958	6511
550	7973	6497
551	7987	6482
552	8001	6467
553	8015	6453
554	8029	6438
555	8045	6424
556	8059	6410
557	8074	6396
558	8089	6382
559	8104	6368
560	8119	6353
561	8133	6339
562	8147	6324
563	8161	6309
564	8176	6295
565	8190	6280
566	8205	6266
567	8219	6251
568	8233	6236
569	8248	6222
570	8263	6208
571	8277	6193
572	8291	6179
573	8306	6164
574	8320	6150
575	8334	6135
576	8352	6123
577	8366	6108
578	8380	6093
579	8394	6079
580	8408	6064
581	8431	6055
582	8445	6040
583	8460	6026
584	8474	6011
585	8489	5997
586	8503	5982
587	8517	5968
588	8531	5953
589	8546	5939
590	8560	5924
591	8575	5910
592	8589	5895
593	8603	5880
594	8618	5866
595	8633	5852
596	8648	5837
597	8662	5823
598	8677	5808
599	8691	5794
600	8705	5779
601	8719	5764
602	8733	5749
603	8747	5734
604	8761	5720
605	8775	5705
606	8788	5690
607	8803	5675
608	8817	5661
609	8831	5646
610	8849	5634
611	8864	5620
612	8879	5606
613	8894	5591
614	8908	5576
615	8922	5562
616	8937	5547
617	8951	5533
618	8965	5518
619	8980	5504
620	8994	5489
621	9008	5474
622	9023	5460
623	9037	5445
624	9052	5431
625	9067	5417
626	9081	5402
627	9096	5388
628	9110	5373
629	9124	5359
630	9138	5344
631	9153	5329
632	9167	5314
633	9181	5300
634	9196	5285
635	9210	5271
636	9223	5256
637	9237	5241
638	9252	5227
639	9267	5212
640	9281	5198
641	9296	5183
642	9310	5169
643	9324	5154
644	9338	5139
645	9355	5126
646	9369	5112
647	9384	5097
648	9398	5083
649	9413	5068
650	9435	5058
651	9450	5044
652	9465	5029
653	9479	5015
654	9494	5000
655	9508	4986
656	9523	4971
657	9537	4956
658	9551	4942
659	9565	4927
660	9578	4912
661	9593	4897
662	9607	4883
663	9621	4868
664	9635	4853
665	9650	4839
666	9665	4825
667	9680	4811
668	9694	4796
669	9708	4782
670	9722	4767
671	9736	4752
672	9751	4738
673	9765	4723
674	9779	4708
675	9793	4694
676	9808	4679
677	9822	4665
678	9837	4650
679	9854	4637
680	9869	4623
681	9884	4608
682	9898	4594
683	9912	4579
684	9926	4564
685	9940	4550
686	9954	4535
687	9969	4520
688	9983	4506
689	9997	4491
690	10011	4476
691	10025	4462
692	10040	4447
693	10054	4433
694	10070	4419
695	10085	4404
696	10099	4390
697	10113	4375
698	10126	4360
699	10140	4345
700	10154	4331
701	10167	4316
702	10181	4301
703	10195	4286
704	10209	4272
705	10223	4257
706	10237	4242
707	10251	4227
708	10265	4213
709	10279	4198
710	10294	4184
711	10307	4169
712	10321	4154
713	10335	4139
714	10352	4126
715	10366	4111
716	10381	4097
717	10396	4083
718	10410	4068
719	10425	4054
720	10446	4042
721	10461	4028
722	10476	4013
723	10490	3999
724	10504	3984
725	10518	3969
726	10532	3954
727	10546	3940
728	10560	3925
729	10573	3910
730	10587	3896
731	10601	3881
732	10615	3866
733	10629	3852
734	10643	3837
735	10657	3822
736	10671	3808
737	10686	3793
738	10700	3779
739	10714	3764
740	10728	3749
741	10742	3735
742	10756	3720
743	10770	3705
744	10783	3691
745	10797	3676
746	10811	3661
747	10825	3647
748	10840	3632
749	10857	3619
750	10872	3604
751	10886	3590
752	10901	3575
753	10915	3561
754	10929	3546
755	10943	3531
756	10957	3517
757	10971	3502
758	10984	3487
759	10998	3473
760	11012	3458
761	11026	3444
762	11040	3429
763	11054	3414
764	11069	3400
765	11084	3385
766	11098	3371
767	11112	3356
768	11126	3342
769	11140	3327
770	11154	3312
771	11168	3298
772	11183	3284
773	11197	3269
774	11212	3255
775	11226	3240
776	11240	3226
777	11254	3211
778	11269	3197
779	11284	3182
780	11299	3168
781	11313	3153
782	11328	3139
783	11342	3124
784	11359	3111
785	11374	3096
786	11388	3082
787	11402	3067
788	11417	3053
789	11435	3039
790	11453	3026
791	11468	3011
792	11482	2997
793	11497	2982
794	11511	2968
795	11525	2953
796	11539	2939
797	11553	2924
798	11566	2909
799	11580	2895
800	11595	2880
801	11608	2866
802	11622	2851
803	11636	2836
804	11650	2822
805	11665	2807
806	11679	2793
807	11694	2778
808	11708	2764
809	11723	2749
810	11737	2735
811	11751	2720
812	11765	2706
813	11779	2691
814	11793	2677
815	11807	2662
816	11821	2647
817	11835	2633
818	11849	2618
819	11867	2605
820	11882	2590
821	11896	2576
822	11910	2561
823	11924	2546
824	11938	2532
825	11952	2517
826	11966	2503
827	11980	2488
828	11994	2474
829	12008	2459
830	12022	2444
831	12036	2430
832	12050	2415
833	12065	2401
834	12079	2387
835	12094	2372
836	12107	2357
837	12121	2343
838	12135	2328
839	12149	2314
840	12164	2299
841	12177	2285
842	12191	2270
843	12205	2256
844	12219	2241
845	12233	2226
846	12247	2212
847	12261	2197
848	12276	2183
849	12290	2168
850	12304	2154
851	12318	2139
852	12332	2125
853	12346	2110
854	12364	2096
855	12378	2082
856	12392	2067
857	12406	2053
858	12420	2038
859	12434	2024
860	12456	2010
861	12470	1996
862	12485	1981
863	12499	1967
864	12513	1952
865	12527	1938
866	12541	1923
867	12554	1909
868	12568	1894
869	12582	1880
870	12597	1865
871	12611	1851
872	12625	1836
873	12639	1822
874	12654	1807
875	12668	1793
876	12683	1778
877	12697	1764
878	12711	1749
879	12725	1735
880	12739	1720
881	12752	1706
882	12766	1691
883	12780	1677
884	12794	1662
885	12808	1648
886	12823	1633
887	12837	1619
888	12851	1604
889	12869	1590
890	12882	1576
891	12897	1561
892	12910	1546
893	12925	1532
894	12939	1517
895	12953	1503
896	12967	1488
897	12980	1474
898	12994	1459
899	13008	1445
900	13022	1430
901	13036	1416
902	13051	1401
903	13065	1387
904	13079	1372
905	13093	1358
906	13107	1343
907	13121	1329
908	13134	1314
909	13149	1300
910	13162	1285
911	13176	1271
912	13190	1256
913	13204	1242
914	13218	1227
915	13232	1213
916	13246	1198
917	13261	1184
918	13275	1170
919	13289	1155
920	13303	1141
921	13317	1126
922	13331	1112
923	13345	1097
924	13362	1083
925	13376	1068
926	13390	1054
927	13403	1039
928	13417	1025
929	13431	1010
930	13453	997
931	13467	982
932	13481	968
933	13495	953
934	13509	939
935	13523	924
936	13537	910
937	13551	895
938	13565	881
939	13578	866
940	13593	852
941	13606	837
942	13621	823
943	13635	808
944	13649	794
945	13663	779
946	13678	765
947	13692	751
948	13706	736
949	13720	722
950	13734	707
951	13748	693
952	13762	678
953	13776	664
954	13790	649
955	13804	635
956	13818	620
957	13832	606
958	13845	591
959	13860	577
960	13877	563
961	13892	548
962	13906	534
963	13920	519
964	13934	505
965	13948	490
966	13961	476
967	13976	462
968	13990	447
969	14004	433
970	14018	418
971	14032	404
972	14046	389
973	14061	375
974	14075	360
975	14089	346
976	14104	332
977	14117	317
978	14131	303
979	14145	288
980	14159	274
981	14173	259
982	14187	245
983	14201	230
984	14215	216
985	14229	202
986	14243	187
987	14258	173
988	14272	158
989	14286	144
990	14300	129
991	14314	115
992	14328	101
993	14341	86
994	14356	72
995	14373	57
996	14387	43
997	14401	28
998	14415	14
999	14429	0
