iter	Logloss
0	0.6038997959
1	0.5198915245
2	0.4622732549
3	0.4008627881
4	0.347535688
5	0.315565523
6	0.2904094292
7	0.2646891794
8	0.2445535296
9	0.2267743407
10	0.2094926846
11	0.1917166616
12	0.1824072473
13	0.1746186784
14	0.164857823
15	0.1526649704
16	0.1448091639
17	0.1383752268
18	0.1326927063
19	0.1285363031
20	0.123233851
21	0.1192411602
22	0.1160694153
23	0.1124369819
24	0.1096749713
25	0.1082544243
26	0.1066198067
27	0.1046520178
28	0.1029119958
29	0.1012462264
30	0.1001263505
31	0.09860724531
32	0.0971410648
33	0.0964142512
34	0.0961552235
35	0.0950291707
36	0.09434892395
37	0.09409480494
38	0.09331310318
39	0.09293345974
40	0.09236681296
41	0.09173674748
42	0.09158497809
43	0.09117321758
44	0.09105585822
45	0.09057821097
46	0.09030052289
47	0.09018267262
48	0.08956121334
49	0.08890388016
50	0.0886831452
51	0.08848783598
52	0.08821151391
53	0.08811550668
54	0.08773921183
55	0.08748728709
56	0.08732156852
57	0.08701387839
58	0.08669226177
59	0.08648124257
60	0.08620110451
61	0.08613505749
62	0.0860590853
63	0.08599862326
64	0.08590116014
65	0.08582124936
66	0.08568950281
67	0.08557000166
68	0.08545379447
69	0.08535331359
70	0.08508554967
71	0.08482733996
72	0.08476178405
73	0.08462335926
74	0.08456177814
75	0.0845433724
76	0.08439185894
77	0.08429949517
78	0.08419147946
79	0.08410072496
80	0.08408330838
81	0.08400782054
82	0.08398231181
83	0.08392941538
84	0.08386520128
85	0.08374742261
86	0.08369522148
87	0.08357280535
88	0.08347258003
89	0.08338631681
90	0.08321027892
91	0.08317715721
92	0.08308502654
93	0.08300497673
94	0.08298249571
95	0.08287985318
96	0.0827902727
97	0.08273194594
98	0.08268870611
99	0.08262214896
100	0.08254020289
101	0.08247090519
102	0.08242958456
103	0.08238649229
104	0.08232692128
105	0.08224990307
106	0.08217176345
107	0.0821443533
108	0.08206455774
109	0.08198861106
110	0.08193077176
111	0.08187171148
112	0.0817872848
113	0.08169786625
114	0.08166352847
115	0.08162205926
116	0.08156127408
117	0.08146990447
118	0.08136261898
119	0.08133489714
120	0.08122532436
121	0.08114751619
122	0.08108985754
123	0.08101895935
124	0.08099042552
125	0.08096137072
126	0.08088079462
127	0.08083677228
128	0.08075836938
129	0.08074283063
130	0.08066034804
131	0.08060679551
132	0.08053225368
133	0.08048311724
134	0.08044903478
135	0.08037860314
136	0.08030518035
137	0.08024645142
138	0.08018600396
139	0.08014275558
140	0.08001885767
141	0.0799899451
142	0.07995117179
143	0.07991762243
144	0.07980646358
145	0.07975928179
146	0.07967666132
147	0.07959420405
148	0.07951616265
149	0.0794944073
150	0.07944108597
151	0.079373124
152	0.07930004952
153	0.07920224807
154	0.07915048397
155	0.07907576701
156	0.07901497054
157	0.07893970513
158	0.07892575663
159	0.07889975781
160	0.07884119484
161	0.07874075252
162	0.07872586104
163	0.07870182185
164	0.07867953173
165	0.07863879517
166	0.0786195058
167	0.07857310891
168	0.07852932381
169	0.07850205316
170	0.07847515769
171	0.07842878071
172	0.07836798593
173	0.07832567585
174	0.07828248558
175	0.07823591789
176	0.07821241058
177	0.07813192209
178	0.07808705316
179	0.07805657313
180	0.07803242367
181	0.07797836481
182	0.07794462242
183	0.07787575946
184	0.07786164504
185	0.07781709128
186	0.07777747835
187	0.07772583449
188	0.07770971099
189	0.07766371053
190	0.07761950919
191	0.07753995673
192	0.077526068
193	0.07746001607
194	0.07741700182
195	0.07733915977
196	0.07732701266
197	0.07723882427
198	0.07720363389
199	0.07713988184
200	0.07710774463
201	0.07703804697
202	0.07698761187
203	0.07693553037
204	0.07685828905
205	0.07682407018
206	0.07681465549
207	0.07675956952
208	0.07671214524
209	0.07669296478
210	0.0766685246
211	0.07661100564
212	0.07658438235
213	0.0765210014
214	0.07645724121
215	0.07640311463
216	0.07638976119
217	0.0763532067
218	0.07632030925
219	0.07627142104
220	0.07619198266
221	0.07613865542
222	0.07610424829
223	0.0760685993
224	0.07604291672
225	0.07599652018
226	0.07591501501
227	0.07587342933
228	0.07582795362
229	0.07577288966
230	0.07569680554
231	0.07566565512
232	0.0756193106
233	0.07557318102
234	0.0755238819
235	0.0755155801
236	0.07549368955
237	0.07542020273
238	0.07537484904
239	0.07534230805
240	0.07531579524
241	0.07526519951
242	0.07520579768
243	0.07514612467
244	0.07507887448
245	0.07506660409
246	0.07501813961
247	0.07496862387
248	0.07488211498
249	0.07481802075
250	0.07477363169
251	0.07476475676
252	0.0747471854
253	0.07468717324
254	0.07465549165
255	0.07462585631
256	0.07459014063
257	0.07455358916
258	0.0744793486
259	0.07445355284
260	0.0744137892
261	0.07435610853
262	0.07430705141
263	0.074250958
264	0.07421613328
265	0.07418397934
266	0.0741338762
267	0.07408669019
268	0.07399624809
269	0.07398755443
270	0.07396667435
271	0.07388734464
272	0.07383408453
273	0.07380784065
274	0.0737825404
275	0.07372074347
276	0.07363343416
277	0.07358602483
278	0.07352570597
279	0.07348101352
280	0.07340505878
281	0.07337209477
282	0.07329153101
283	0.07325461066
284	0.07322437354
285	0.07317812492
286	0.07315582645
287	0.07311130423
288	0.07307306587
289	0.07304575425
290	0.07300858218
291	0.07295195394
292	0.07288757689
293	0.0728482909
294	0.07279908399
295	0.07276238665
296	0.07273429736
297	0.07266400521
298	0.07263420675
299	0.07258003909
300	0.07256013211
301	0.07252944435
302	0.07249225379
303	0.07245739923
304	0.07244578766
305	0.07241282241
306	0.07236042507
307	0.07233709603
308	0.07231868541
309	0.07224734778
310	0.07220247433
311	0.07213720932
312	0.07208531419
313	0.07202041228
314	0.07195844376
315	0.07193408194
316	0.07188887728
317	0.07185830874
318	0.07183706862
319	0.07177280255
320	0.0717576163
321	0.07169987522
322	0.07167375802
323	0.07164950724
324	0.07160440353
325	0.07157733188
326	0.07149444902
327	0.07146135882
328	0.07145302048
